VARIABLES="N"	"C<sub>d</sub>"	"1/sqrt(DOF)"	"C<sub>d</sub> Error"	"Work Units"
ZONE T="Slope 2"
7.87E+03	1.21909688E-01	1.12751682E-02	1.01E-05	1.36E+01
1.22E+04	1.21903979E-01	9.03876908E-03	4.39E-06	1.56E+01
1.55E+04	1.21902698E-01	8.04361815E-03	3.11E-06	1.89E+01
1.57E+04	1.21902501E-01	7.97426868E-03	2.91E-06	2.30E+01
1.59E+04	1.21902101E-01	7.93500864E-03	2.51E-06	2.72E+01
1.58E+04	1.21901745E-01	7.96819073E-03	2.15E-06	3.16E+01
1.56E+04	1.21901781E-01	8.00794783E-03	2.19E-06	3.61E+01
1.56E+04	1.21901781E-01	8.00794783E-03	2.19E-06	3.61E+01
2.46E+04	1.21900615E-01	6.37188302E-03	1.02E-06	4.13E+01
3.13E+04	1.21900184E-01	5.65052920E-03	5.93E-07	5.06E+01
3.12E+04	1.21900088E-01	5.65920897E-03	4.97E-07	6.22E+01
3.15E+04	1.21899994E-01	5.63865946E-03	4.03E-07	7.53E+01
3.14E+04	1.21899992E-01	5.64674433E-03	4.02E-07	9.08E+01
3.15E+04	1.21899969E-01	5.63543522E-03	3.79E-07	1.07E+02

ZONE T="UM DG MOESS P3"
4.67E+03	1.23370336E-01	1.46332759E-02	1.47E-03	7.88E-02
3.55E+03	1.22702581E-01	1.67836272E-02	8.03E-04	7.21E-01
2.66E+03	1.22409385E-01	1.93891684E-02	5.10E-04	1.55E+00
2.13E+03	1.22335648E-01	2.16675695E-02	4.36E-04	2.27E+00
2.22E+03	1.22069756E-01	2.12238180E-02	1.70E-04	2.74E+00
2.10E+03	1.21919300E-01	2.18217890E-02	1.97E-05	3.13E+00
2.22E+03	1.21989271E-01	2.12238180E-02	8.97E-05	3.52E+00
2.22E+03	1.21989271E-01	2.12238180E-02	8.97E-05	3.53E+00
3.21E+03	1.21972138E-01	1.76501127E-02	7.25E-05	3.98E+00
4.12E+03	1.21932699E-01	1.55794238E-02	3.31E-05	4.66E+00
4.13E+03	1.21924446E-01	1.55605511E-02	2.49E-05	5.45E+00
4.15E+03	1.21921322E-01	1.55230105E-02	2.17E-05	6.22E+00
4.26E+03	1.21908260E-01	1.53212853E-02	8.67E-06	7.03E+00
4.17E+03	1.21911595E-01	1.54857403E-02	1.20E-05	7.86E+00
4.17E+03	1.21911595E-01	1.54857403E-02	1.20E-05	7.89E+00
5.79E+03	1.21904400E-01	1.31419775E-02	4.81E-06	8.86E+00
7.66E+03	1.21903688E-01	1.14257736E-02	4.10E-06	1.02E+01
7.99E+03	1.21902716E-01	1.11873342E-02	3.13E-06	1.20E+01
8.08E+03	1.21903104E-01	1.11248540E-02	3.51E-06	1.38E+01
7.94E+03	1.21901457E-01	1.12225035E-02	1.87E-06	1.55E+01
8.22E+03	1.21900604E-01	1.10297099E-02	1.01E-06	1.73E+01
8.22E+03	1.21900604E-01	1.10297099E-02	1.01E-06	1.74E+01
1.26E+04	1.21900581E-01	8.90517497E-03	9.90E-07	1.98E+01
1.57E+04	1.21900038E-01	7.97325472E-03	4.47E-07	2.36E+01
1.60E+04	1.21899886E-01	7.91063985E-03	2.95E-07	2.82E+01
1.61E+04	1.21899634E-01	7.87133208E-03	4.36E-08	3.36E+01
1.62E+04	1.21899666E-01	7.86402689E-03	7.51E-08	3.99E+01
1.61E+04	1.21899652E-01	7.88845698E-03	6.15E-08	4.69E+01
1.61E+04	1.21899652E-01	7.88845698E-03	6.15E-08	4.70E+01
2.43E+04	1.21899654E-01	6.41104678E-03	6.28E-08	5.51E+01
3.12E+04	1.21899630E-01	5.65775956E-03	3.96E-08	6.88E+01
3.14E+04	1.21899596E-01	5.64063255E-03	5.59E-09	9.73E+01
3.18E+04	1.21899611E-01	5.60507826E-03	2.07E-08	1.33E+02
3.16E+04	1.21899616E-01	5.62811171E-03	2.56E-08	1.68E+02
3.16E+04	1.21899603E-01	5.62989530E-03	1.22E-08	2.01E+02

ZONE T="MOESS Slope 2"
0	0	2.21403721E-02	6.44E-004	0
0	0	5.63168058E-03	4.16853587059943E-05	0

ZONE T="MOESS Slope 4"
0	0	2.16981518E-02	1.51E-004	0
0	0	5.63543522E-03	6.85481127740883E-07	0

ZONE T="MOESS Slope 6"
0	0	2.12238180E-02	4.97E-005	0
0	0	5.62989530E-03	1.73017705202757E-08	0


